legalName,altraDenominazione,dataAltraDenominazione,localType,nome,cognome,intestazione,authorizedFrom,existenceRangeFromDate,existenceRangeToDate,dataNascita,dataMorte,placeRole,placeEntry,otherPlaceRole,otherPlaceEntry,professione,legalStatus,tipologiaEnte,genere,relazione_complesso
Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,,ca-83463
"Magistrato politico economico di Trento, Trento, 1825 - 1949",,,,,,,,,,,,,,,,,,,,
"Magistrato civico di Trento, Trento, 1814 - 1825",,,,,,,,,,,,,,,,,,,,
Magistrato civico di Trento,,,,,,,,,,,,,,,,,,,,
Commissione provinciale di censura di guerra di Mantova,,,corporateBody,,,"Commissione provinciale di censura di guerra di Mantova, Mantova, 1940 - 1945",SIUSA,1940,1945,,,Sede,Mantova,Sede,Mantova,,pubblico,stato,,ca-599837
"Commissione provinciale di censura di guerra di Mantova, Mantova, 1940 - 1945",,,,,,,,,,,,,,,,,,,,
Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,ca-599842
"Commissione provinciale patrioti di Trento, Trento, 1946",,,,,,,,,,,,,,,,,,,,
"Ufficio provinciale patrioti di Trento, Trento, 1945",,,,,,,,,,,,,,,,,,,,
Ufficio provinciale patrioti di Trento,,,,,,,,,,,,,,,,,,,,
Comitato di liberazione nazionale - CLN provinciale di Trento,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Trento, Trento, 1945 - 1946",SIUSA,1945 apr 30,1946 lug,,,Sede,Trento,Sede,Trento,,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,ca-599861
"Comitato di liberazione nazionale - CLN provinciale di Trento, Trento, 1945 - 1946",,,,,,,,,,,,,,,,,,,,
Comitato di liberazione nazionale - CLN di Levico,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Levico, Levico (Trento), 1945 - 1946",SIUSA,1945 mag,1946,,,Sede,Levico (Trento),Sede,Levico (Trento),,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,ca-599861
"Comitato di liberazione nazionale - CLN provinciale di Levico, Levico (Trento), 1945 - 1946",,,,,,,,,,,,,,,,,,,,
Comitato di liberazione nazionale - CLN di Sanzeno,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Sanzeno, Sanzeno (Trento), 1945",SIUSA,1945 mar 10,1945 lug 10,,,Sede,Sanzeno (Trento),Sede,Sanzeno (Trento),,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,ca-599861
"Comitato di liberazione nazionale - CLN provinciale di Sanzeno, Sanzeno (Trento), 1945",,,,,,,,,,,,,,,,,,,,
Centro studi per l'autonomia regionale - CSAR,,,corporateBody,,,"Centro studi per l'autonomia regionale - CSAR, Trento, 1945 - 1946",SIUSA,1945 lug 22,1946 feb 19,,,Sede,Trento,Sede,Trento,,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,ca-599861
"Centro studi per l'autonomia regionale - CSAR, Trento, 1945 - 1946",,,,,,,,,,,,,,,,,,,,
Degasperi,,,person,Alfredo,Degasperi,"Degasperi, Alfredo, insegnante, giornalista, scrittore, (Bregenz 1891 - Como 1974)",SIUSA,,,1891,1974 feb 26,luogo di nascita,Bregenz (Austria),luogo di nascita,Bregenz (Austria),insegnante,,,maschile,ca-599821
Alfredo,,,,,,,,,,,,,,luogo di morte,Como,,,,,
"Degasperi, Alfredo, insegnante, giornalista, scrittore, (Bregenz 1891 - Como 1974)",,,,,,,,,,,,,,,,,,,,
Ferrari,,,person,Oreste,Ferrari,"Ferrari, Oreste, antifascista, (Ledro 1890 - Bellinzona 1962)",SIUSA,,,1890 mag 05,1962 feb 10,luogo di nascita,Ledro (Trento),luogo di nascita,Ledro (Trento),Antifascista,,,maschile,ca-599855
Oreste,,,,,,,,,,,,,,luogo di morte,Bellinzona (Svizzera),,,,,
"Ferrari, Oreste, antifascista, (Ledro 1890 - Bellinzona 1962)",,,,,,,,,,,,,,,,,,,,
Legione trentina,Legione trentina. Associazione volontari trentini della guerra 1915-1918,,corporateBody,,,"Legione trentina, Trento, 1917 - 1988",SIUSA,1917,1988,,,Sede,Trento,Sede,Trento,,privato,associazione combattentistica e d'arma,,ca-599827
"Legione trentina, Trento, 1917 - 1988",,,,,,,,,,,,,,,,,,,,
Legione trentina. Associazione volontari trentini della guerra 1915-1918,,,,,,,,,,,,,,,,,,,,
Legione trentina. Associazione fra i trentini combattenti nel Regio Esercito,,,,,,,,,,,,,,,,,,,,
Legione trentina. Gruppo di Riva del Garda,Legione trentina. Associazione fra i trentini combattenti nel Regio Esercito,,corporateBody,,,"Legione trentina. Gruppo di Riva del Garda, Riva del Garda (Trento), 1919 - sec. XX seconda metà",SIUSA,1919,sec. XX seconda metà,,,Sede,Riva del Garda (Trento),Sede,Riva del Garda (Trento),,privato,associazione combattentistica e d'arma,,ca-603252
"Legione trentina. Gruppo di Riva del Garda, Riva del Garda (Trento), 1919 - sec. XX seconda metà",,,,,,,,,,,,,,,,,,,,
Legione trentina. Associazione fra i trentini combattenti nel Regio Esercito,,,,,,,,,,,,,,,,,,,,
Pedrolli,,,person,Bruno,Pedrolli,"Pedrolli, Bruno, partigiano, (1919 - 1989)",SIUSA,,,1919,1989,luogo di nascita,non indicato,luogo di nascita,non indicato,partigiano,,,maschile,ca-599860
Bruno,,,,,,,,,,,,,,,,,,,,
"Pedrolli, Bruno, partigiano, (1919 - 1989)",,,,,,,,,,,,,,,,,,,,
Pedrolli,,,person,Fortunato,Pedrolli,"Pedrolli, Fortunato, antifascista, (1883 - 1960)",SIUSA,,,1883,1960,luogo di nascita,non indicato,luogo di nascita,non indicato,,,,maschile,ca-599860
Fortunato,,,,,,,,,,,,,,,,,,,,
"Pedrolli, Fortunato, antifascista, (1883 - 1960)",,,,,,,,,,,,,,,,,,,,
Radice,,,person,Antonio,Radice,"Radice, Antonio, insegnante, (Bronte 1917 - Trento 2001)",SIUSA,,,1917,2001 mag 08,luogo di nascita,Bronte (Catania),luogo di nascita,Bronte (Catania),,,,maschile,ca-603253
Antonio,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Radice, Antonio, insegnante, (Bronte 1917 - Trento 2001)",,,,,,,,,,,,,,,,,,,,
Strobele,,,person,Giovanni,Strobele,"Strobele, Giovanni, alpinista, (Castel Ivano 1895 - Trento 1976)",SIUSA,,,1895 giu 19,1976 mar 27,luogo di nascita,Castel Ivano (Trento),luogo di nascita,Castel Ivano (Trento),alpinista,,,maschile,ca-599851
Giovanni,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Strobele, Giovanni, alpinista, (Castel Ivano 1895 - Trento 1976)",,,,,,,,,,,,,,,,,,,,
Comune di Albiano,Comunità di Albiano,sec. XIV - 1810,corporateBody,,,"Comune di Albiano, Albiano (Trento), sec. XIV -",SIUSA,sec. XIV,,,,Sede,Albiano (Trento),Sede,Albiano (Trento),,pubblico,ente pubblico territoriale,,ca-73060
"Comune di Albiano, Albiano (Trento), sec. XIV -",,,,,,,,,,,,,,,,,,,,
Comunità di Albiano,,,,,,,,,,,,,,,,,,,,
Comune di Trento,,,corporateBody,,,"Comune di Trento, Trento, sec. XIII -",SIUSA,sec. XIII,,,,Sede,Trento,Sede,Trento,,pubblico,preunitario,,ca-83681
"Comune di Trento, Trento, sec. XIII -",,,,,,,,,,,,,,,,,,,,
Ospedale psichiatrico di Pergine Valsugana,Tiroler Landes-Irrenanstalt Pergine,1882 - 1920,corporateBody,,,"Ospedale psichiatrico di Pergine Valsugana, Pergine Valsugana (Trento), 1882 - 2002",SIUSA,1882 set 19,2002 ott 29,,,Sede,Pergine Valsugana (Trento),Sede,Pergine Valsugana (Trento),,pubblico,ente sanitario,,ca-10447
"Ospedale psichiatrico di Pergine Valsugana, Pergine Valsugana (Trento), 1882 - 2002",,,,,,,,,,,,,,,,,,,,
Tiroler Landes-Irrenanstalt Pergine,,,,,,,,,,,,,,,,,,,,
Manicomio provinciale tirolese di Pergine Valsugana,,,,,,,,,,,,,,,,,,,,
Ospedale provinciale della Venezia Tridentina,,,,,,,,,,,,,,,,,,,,
Ospedale psichiatrico della Provincia di Trento,,,,,,,,,,,,,,,,,,,,
Calamandrei,,,person,Piero,Calamandrei,"Calamandrei, Piero, giurista, insegnante, pubblicista, antifascista, politico, (Firenze 1889 - Firenze 1956)",SIUSA,,,1889 apr 21,1956 set 27,luogo di nascita,Firenze,luogo di nascita,Firenze,Avvocato,,,maschile,ca-599832
Piero,,,,,,,,,,,,,,luogo di morte,Firenze,,,,,
"Calamandrei, Piero, giurista, insegnante, pubblicista, antifascista, politico, (Firenze 1889 - Firenze 1956)",,,,,,,,,,,,,,,,,,,,
De Gasperi,"Degasperi, Alcide",,person,Alcide,De Gasperi,"De Gasperi, Alcide, giornalista, politico, (Pieve Tesino, 1881 - Borgo Valsugana, 1954)",SIUSA,,,1881 apr 03,1954 ago 19,luogo di nascita,Pieve Tesino (Trento),luogo di nascita,Pieve Tesino (Trento),Giornalista,,,maschile,ca-593719
Alcide,,,,,,,,,,,,,,luogo di morte,Borgo Valsugana (Trento),,,,,
"De Gasperi, Alcide, giornalista, politico, (Pieve Tesino, 1881 - Borgo Valsugana, 1954)",,,,,,,,,,,,,,,,,,,,
"Degasperi, Alcide",,,,,,,,,,,,,,,,,,,,
C. De Poli Clerici,,,,,,,,,,,,,,,,,,,,
Rerum scriptor,,,,,,,,,,,,,,,,,,,,
Spectator,,,,,,,,,,,,,,,,,,,,
Silentiarius,,,,,,,,,,,,,,,,,,,,
Zanatta,,,,,,,,,,,,,,,,,,,,
Istituto nazionale della previdenza sociale. Agenzia di produzione di Riva del Garda,INPS. Agenzia di produzione di Riva del Garda,dal luglio 1998,corporateBody,,,"Istituto nazionale della previdenza sociale. Centro operativo di Riva del Garda, Riva del Garda (Trento), 1994 - 1998",SIUSA,1994 set,,,,Sede,Riva del Garda (Trento),Sede,Riva del Garda (Trento),,pubblico,"ente di credito, assicurativo, previdenziale",,ca-326749
"Istituto nazionale della previdenza sociale. Centro operativo di Riva del Garda, Riva del Garda (Trento), 1994 - 1998",,,,,,,,,,,,,,,,,,,,
"Istituto nazionale della previdenza sociale. Agenzia di produzione di Riva del Garda, Riva del Garda (Trento), 1998 -",,,,,,,,,,,,,,,,,,,,
"INPS. Agenzia di produzione di Riva del Garda, Riva del Garda (Trento), 1998 -",,,,,,,,,,,,,,,,,,,,
INPS. Agenzia di produzione di Riva del Garda,,,,,,,,,,,,,,,,,,,,
INPS. Centro operativo di Riva del Garda,,,,,,,,,,,,,,,,,,,,
Disertori,,,person,Giuseppe,Disertori,"Disertori, Giuseppe, psichiatra, filosofo, politico, scrittore, (Trento 1907 - 1992)",SIUSA,,,1907 giu 19,1992 mag 05,luogo di nascita,Trento,luogo di nascita,Trento,"psichiatra, filosofo, politico, scrittore",,,maschile,ca-352594
Giuseppe,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
Beppino,,,,,,,,,,,,,,,,,,,,
"Disertori, Giuseppe, psichiatra, filosofo, politico, scrittore, (Trento 1907 - 1992)",,,,,,,,,,,,,,,,,,,,
Lorenzi,,,person,Giovanni,Lorenzi,"Lorenzi, Giovanni, ingegnere, (Lavis 1901 - Trento 1962)",SIUSA,,,1901 gen 16,1962 nov 26,luogo di nascita,Lavis (Trento),luogo di nascita,Lavis (Trento),Ingegnere,,,maschile,ca-359809
Giovanni,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Lorenzi, Giovanni, ingegnere, (Lavis 1901 - Trento 1962)",,,,,,,,,,,,,,,,,,,,
Ciocca,,,person,Gaetano,Ciocca,"Ciocca, Gaetano, ingegnere, (Pavia 1882 - Pavia 1966)",SIUSA,,,1882 giu 27,1966 ott 31,luogo di nascita,Pavia,luogo di nascita,Pavia,"Ingegnere, inventore, saggista",,,maschile,ca-359820
Gaetano,,,,,,,,,,,,,,luogo di morte,Pavia,,,,,
"Ciocca, Gaetano, ingegnere, (Pavia 1882 - Pavia 1966)",,,,,,,,,,,,,,,,,,,,
De Giorgio,,,person,Quirino,De Giorgio,"De Giorgio, Quirino, architetto, (Palmanova 1907 - Abano Terme 1997)",SIUSA,,,1907 dic 27,1997 apr 19,luogo di nascita,Palmanova (Udine),luogo di nascita,Palmanova (Udine),Architetto,,,maschile,ca-359825
Quirino,,,,,,,,,,,,,,luogo di morte,Abano Terme (Padova),,,,,
"De Giorgio, Quirino, architetto, (Palmanova 1907 - Abano Terme 1997)",,,,,,,,,,,,,,,,,,,,
Impresa costruzioni edilizie Amitrano,,,corporateBody,,,"Impresa costruzioni edilizie Amitrano, Capri (Napoli), [1938 ante] - 1991",SIUSA,sec. XX inizio,,,,Sede,Capri (Napoli),Sede,Capri (Napoli),,,,,ca-359843
"Impresa costruzioni edilizie Amitrano, Capri (Napoli), [1938 ante] - 1991",,,,,,,,,,,,,,,,,,,,
Toniolatti,,,person,Giorgia,Toniolatti,"Toniolatti, Giorgia, architetto, (Trento 1927 - Rovereto 2003)",SIUSA,,,1927 dic 02,2003 set 12,luogo di nascita,Trento,luogo di nascita,Trento,Architetto,,,femminile,ca-359847
Giorgia,,,,,,,,,,,,,,luogo di morte,Rovereto,,,,,
"Toniolatti, Giorgia, architetto, (Trento 1927 - Rovereto 2003)",,,,,,,,,,,,,,,,,,,,
Mansutti,,,person,Francesco,Mansutti,"Mansutti, Francesco, architetto, ingegnere, (Porto Viro 1899 - Padova 1969)",SIUSA,,,1899 ago 20,1969 mar 18,luogo di nascita,Porto Viro (Rovigo),luogo di nascita,Porto Viro (Rovigo),"Architetto, ingegnere",,,maschile,ca-359849
Francesco,,,,,,,,,,,,,,luogo di morte,Padova,,,,,
"Mansutti, Francesco, architetto, ingegnere, (Porto Viro 1899 - Padova 1969)",,,,,,,,,,,,,,,,,,,,
Miozzo,,,person,Gino,Miozzo,"Miozzo, Gino, architetto, ingegnere, (Padova 1898 - Padova 1969)",SIUSA,,,1898 ott 18,1969 ott 20,luogo di nascita,Padova,luogo di nascita,Padova,"Architetto, ingegnere",,,maschile,ca-359849
Gino,,,,,,,,,,,,,,luogo di morte,Padova,,,,,
"Miozzo, Gino, architetto, ingegnere, (Padova 1898 - Padova 1969)",,,,,,,,,,,,,,,,,,,,
Mazzoni,,,person,Angiolo,Mazzoni,"Mazzoni, Angiolo, architetto,  (Bologna 1894 - Roma 1979)",SIUSA,,,1894 mag 21,1979 set 29,luogo di nascita,Bologna,luogo di nascita,Bologna,Architetto,,,maschile,ca-359851
Angiolo,,,,,,,,,,,,,,luogo di morte,Roma,,,,,
"Mazzoni, Angiolo, architetto,  (Bologna 1894 - Roma 1979)",,,,,,,,,,,,,,,,,,,,
Perghem Gelmi,,,person,Michelangelo,Perghem Gelmi,"Perghem Gelmi, Michelangelo, ingegnere, (Innsbruck 1911 - Trento 1992)",SIUSA,,,1911 dic 11,1992 ago 01,luogo di nascita,Innsbruck,luogo di nascita,Innsbruck,Ingegnere,,,maschile,ca-359852
Michelangelo,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Perghem Gelmi, Michelangelo, ingegnere, (Innsbruck 1911 - Trento 1992)",,,,,,,,,,,,,,,,,,,,
Sottsass,,,person,Ettore,Sottsass,"Sottsass, Ettore, architetto, (Nave San Rocco 1892 - Torino 1953)",SIUSA,,,1892 apr 12,1953 ott 05,luogo di nascita,Nave San Rocco (Trento),luogo di nascita,Nave San Rocco (Trento),Architetto,,,maschile,ca-359853
Ettore,,,,,,,,,,,,,,luogo di morte,Torino,,,,,
"Sottsass, Ettore, architetto, (Nave San Rocco 1892 - Torino 1953)",,,,,,,,,,,,,,,,,,,,
Anzoletti,,,person,Luisa,Anzoletti,"Anzoletti, Luisa, (Trento 1863 - Trento 1925)",SIUSA,,,1863 apr 09,1925 set 19,luogo di nascita,Trento,luogo di nascita,Trento,,,,femminile,ca-415059
Luisa,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Anzoletti, Luisa, (Trento 1863 - Trento 1925)",,,,,,,,,,,,,,,,,,,,
Bonelli,,,person,Antonietta,Bonelli,"Bonelli, Antonietta, (Trento 1866 - Trento 1963)",SIUSA,,,1866 gen 17,1963 dic 31,luogo di nascita,Trento,luogo di nascita,Trento,,,,femminile,ca-415169
Antonietta,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Bonelli, Antonietta, (Trento 1866 - Trento 1963)",,,,,,,,,,,,,,,,,,,,
Mazzi Kargruber,,,person,Maria,Mazzi Kargruber,"Mazzi Kargruber, Maria, (Riva del Garda 1874 - Trento 1968)",SIUSA,,,1874 gen 16,1968 giu 29,luogo di nascita,Riva del Garda (Trento),luogo di nascita,Riva del Garda (Trento),,,,femminile,ca-415173
Maria,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Mazzi Kargruber, Maria, (Riva del Garda 1874 - Trento 1968)",,,,,,,,,,,,,,,,,,,,
Turco,,,person,Giulia,Turco,"Turco Lazzari, Giulia, (Trento 1948 - Trento 1912)",SIUSA,,,1848 apr 01,1912 ago 03,luogo di nascita,Trento,luogo di nascita,Trento,,,,femminile,ca-415174
Giulia,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Turco Lazzari, Giulia, (Trento 1948 - Trento 1912)",,,,,,,,,,,,,,,,,,,,
Opera nazionale di assistenza all'infanzia delle regioni di confine - ONAIRC di Trento,Opera nazionale di assistenza all'Italia redenta - ONAIR,1919-1960,corporateBody,,,"Opera nazionale di assistenza all'infanzia delle regioni di confine - ONAIRC di Trento, Trento, 1919 - 1977",SIUSA,1919,1977,,,Sede,Trento,Sede,Trento,,pubblico,ente di assistenza e beneficenza,,ca-415334
"Opera nazionale di assistenza all'infanzia delle regioni di confine - ONAIRC di Trento, Trento, 1919 - 1977",,,,,,,,,,,,,,,,,,,,
Opera nazionale di assistenza all'Italia redenta - ONAIR,,,,,,,,,,,,,,,,,,,,
